minorityvote = 114/2/18/51 A-52-PV.49 pg020-bk02 1997-11-12 Operative paragraph 7 was retained by 114 votes to 2, with 18 abstentions.
minorityvote = 93/2/57/33 A-53-PV.85 pg018-bk04 1998-12-09 Operative paragraphs 4, 13, 15 and 17 of draft resolution II were retained by 93 votes to 2, with 57 abstentions.
minorityvote = 100/2/63/25 A-56-PV.88 pg021-bk02 2001-12-19 Draft resolution V was adopted by 100 votes to 2, with 63 abstentions ( resolution 56/174 ).
minorityvote = 114/3/47/21 A-49-PV.94 pg026-bk03 1994-12-23 Draft resolution VIII was adopted by 114 votes to 3, with 47 abstentions ( resolution 49/203 ).
minorityvote = 111/3/53/18 A-50-PV.99 pg014-bk03 1995-12-22 Draft resolution IV was adopted by 111 votes to 3, with 53 abstentions ( resolution 50/191 ).
minorityvote = 103/3/59/20 A-51-PV.82 pg022-bk02 1996-12-12 Draft resolution I was adopted by 103 votes to 3, with 59 abstentions ( resolution 51/106 ).
minorityvote = 99/3/60/23 A-52-PV.70 pg027-bk04 1997-12-12 Draft resolution V was adopted by 99 votes to 3, with 60 abstentions ( resolution 52/141 ).
minorityvote = 103/3/56/23 A-53-PV.85 pg019-bk02 1998-12-09 Draft resolution II, as a whole, was adopted by 103 votes to 3, with 56 abstentions ( resolution 53/157 ).
minorityvote = 100/3/53/32 A-54-PV.83 pg029-bk05 1999-12-17 Draft resolution III was adopted by 100 votes to 3, with 53 abstentions ( resolution 54/178 ).
minorityvote = 102/3/60/25 A-55-PV.81 pg022-bk08 2000-12-04 Draft resolution IV was adopted by 102 votes to 3, with 60 abstentions ( resolution 55/115 ).
ambassador = S-PV-5082 pg015-bk01 2004-11-19 Mr. Taha
ambassador = S-PV-5120 pg004-bk01 2005-02-08 Mr. Taha
ambassador = A-59-PV.34 pg016-bk01 2004-10-18 Mr. Wali
ambassador = S-PV-3342 pg009-bk02 1994-03-02 Mr. Yassin
ambassador = A-49-PV.28 pg019-bk01 1994-10-12 Mr. Yassin
ambassador = A-49-PV.47 pg023-bk01 1994-10-27 Mr. Yassin
ambassador = S-PV-3536-Resu.2 pg002-bk05 1995-05-16 Mr. Yassin
ambassador = A-50-PV.59 pg021-bk01 1995-11-14 Mr. Yassin
ambassador = A-50-PV.88 pg011-bk03 1995-12-11 Mr. Yassin
ambassador = A-50-PV.95 pg024-bk02 1995-12-19 Mr. Yassin
ambassador = S-PV-3627 pg004-bk01 1996-01-31 Mr. Yassin
ambassador = S-PV-3627 pg007-bk02 1996-01-31 Mr. Yassin
ambassador = A-50-PV.115 pg017-bk02 1996-04-24 Mr. Yassin
ambassador = S-PV-3660 pg002-bk08 1996-04-26 Mr. Yassin
ambassador = A-51-PV.72 pg014-bk02 1996-12-04 Mr. Yassin
ambassador = A-49-PV.56 pg018-bk01 1994-11-14 Mr. Yousif
ambassador = A-49-PV.78 pg001-bk03 1994-12-06 Mr. Yousif
ambassador = A-49-PV.84 pg009-bk02 1994-12-09 Mr. Yousif
ambassador = A-49-PV.84 pg014-bk03 1994-12-09 Mr. Yousif
ambassador = A-53-PV.85 pg006-bk18 1998-12-09 Mrs. Ahmed
ambassador = A-53-PV.85 pg010-bk08 1998-12-09 Mrs. Ahmed
ambassador = A-53-PV.90 pg013-bk01 1998-12-11 Mrs. Ahmed
ambassador = A-55-PV.81 pg007-bk16 2000-12-04 Mrs. Ahmed
ambassador = A-56-PV.88 pg019-bk01 2001-12-19 Mrs. Ahmed
ambassador = A-57-PV.27 pg006-bk01 2002-10-14 Mrs. Ahmed
ambassador = A-58-PV.40 pg006-bk01 2003-10-22 Mrs. Ahmed
ambassador = A-59-PV.67 pg018-bk01 2004-12-06 Mrs. Ahmed
ambassador = A-53-PV.43 pg007-bk02 1998-10-26 Mrs. Bashir
ambassador = A-49-PV.38 pg003-bk01 1994-10-19 Mrs. Sirelkhatim
ambassador = A-60-PV.86 pg024-bk02 2006-06-02 Ms. Shokai
ambassador = A-50-PV.99 pg012-bk01 1995-12-22 Ms. Wahbi
ambassador = A-52-PV.70 pg005-bk01 1997-12-12 Ms. Wahbi
